Catalog #,Class 2,Class 3,Class 4,Obj Des Details:Obj Name,Material,Common Name,Quantity,Collector,Locality,Ctry-Cont-Ocean,State-Prov-Sea,Cty-Bay-Parish,St Site No,Site Info:Site Name,Map Qd-Scl:Map-Quad,Remarks
000067738.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,7.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067739.0000,PREHISTORIC,ANIMAL,BONE,long bone,bone,,8.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067740.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,25.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067741.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,3.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067742.0000,PREHISTORIC,VEGETAL,OTHER PLANT MATERIALS,charred fragments,unidentified,,4.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,from 213 liter flotation
000067743.0000,PREHISTORIC,ANIMAL,BONE,humerus,bone,white-tailed deer,4.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,humerus- distal medial portion- left side
000067744.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,9.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; indeterminate
000067745.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,3.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067746.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,6.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067747.0000,PREHISTORIC,ANIMAL,BONE,tibia,bone,white-tailed deer,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,tibia fragment- proximal medial section- left side
000067748.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067749.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,16.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067750.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,4.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
000067751.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,7.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067752.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,13.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067753.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
000067754.0000,PREHISTORIC,ANIMAL,BONE,unidentified,tooth,white-tailed deer,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067755.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,5.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067756.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,white-tailed deer,9.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,from top scrape to outline stain
000067757.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned
000067758.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067759.0000,PREHISTORIC,ANIMAL,BONE,unidentified,tooth,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,
000067760.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,5.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,eroded
000067761.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,9.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
000067762.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,8.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,copper stained; from 18 liters; water screened
000067763.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,1.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined
000067764.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,2.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,burned; from 34.5 liters; water screened
000067765.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,4.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,calcined; from 34.5 liters; water screened
000067766.0000,PREHISTORIC,ANIMAL,BONE,unidentified,bone,,5.00,Thunderbird Archaeology,,United States,Virginia,Warren County,44WR0300,,Front Royal,indeterminate
